variable	tex_expectations	different
TLN	NA	NA
LIR	NA	NA
Days_to_budding	NA	NA
DTF 	NA	NA
Stem_diamater_at_flowering	NA	NA
Plant_height_at_flowering	neg	no
Internode_length	neg	yes
Stem_diameter_final_before_1st_node	NA	NA
Stem_diameter_final_after_5th_node	NA	NA
Distance_of_first_branching_from_ground	neg	yes
Primary_branches	pos	yes
SLA	NA	NA
Leaf_total_N	NA	NA
Leaf_total_C	NA	NA
Leaf_C_N ratio	NA	NA
Disk_diameter	neg	yes
Petal_length	neg	yes
Petal_width	neg	no
Flower_head_diameter	neg	yes
Petal_LW_ratio	NA	NA
Flower_FHDD_ratio	NA	NA
Ligules_number	neg	yes
Guides_3_petals	NA	NA
Guides_individual_petal	NA	NA
Guides_3_petals_mod	NA	NA
Guides_individual_petal_mod	NA	NA
Dark_petal	NA	NA
Stem_colour	pos	yes
Petiole_main_veins_colour	NA	NA
Darker_axillae	NA	NA
Leaf_perimeter	NA	NA
Leaf_area	NA	NA
Leaf_width_mid-height	NA	NA
Leaf_maximum_width	NA	NA
Leaf_height_mid-width	NA	NA
Leaf_maximum_height	NA	NA
Leaf_curved_height	NA	NA
Leaf_curvedHeight_maxWidth	NA	NA
Trichomes_length	NA	NA
Trichomes_density_leaf_edge_flat_area	NA	NA
Trichomes_density_leaf_edge_secondary_veins	NA	NA
Trichomes_density_leaf_center_flat_area	NA	NA
Trichomes_density_leaf_center_secondary_veins	NA	NA
Trichomes_density_edge_average	NA	NA
Trichomes_density_center_average	NA	NA
Trichomes_density_nonvein_average	NA	NA
Trichomes_density_vein_average	NA	NA
Leaf_shape_index_external_I	NA	NA
Leaf_shape_index_external_II	NA	NA
Curved_shape_index	NA	NA
Leaf_ellipsoid	NA	NA
Leaf_circular	NA	NA
Leaf_rectangular	NA	NA
Leaf_obovoid	NA	NA
Leaf_width_widest_pos	NA	NA
Leaf_eccentricity	NA	NA
Leaf_proximal_eccentricity	NA	NA
Leaf_Distal_eccentricity	NA	NA
Leaf_shape_index_internal	NA	NA
Leaf_eccentricity_area_index	NA	NA
Total_RGB	NA	NA
RGB_proportion_green	NA	NA
RGB_proportion_red	NA	NA
RGB_proportion_blue	NA	NA
Phyllaries_diameter	neg	yes
Phyllaries_length	neg	yes
Phyllaries_width	NA	NA
Phyllaries_LW_ratio	NA	NA
Flowerhead_to_phyllaries_diameter_ratio	NA	NA
Disk_to_phyllaries_diameter_ratio	NA	NA
Seed_perimeter	neg	yes
Seed_area	neg	yes
Seed_width_mid_height	neg	yes
Seed_maximum_width	neg	yes
Seed_height_mid_width	neg	yes
Seed_maximum_height	neg	yes
Seed_curved_height	neg	yes
Seed_HW_ratio	NA	NA
Seed_fruit_shape_index_external_I	NA	NA
Seed_fruit_shape_index_external_II	NA	NA
Seed_curved_fruit_shape_index	NA	NA
Seed_ellipsoid	NA	NA
Seed_circular	NA	NA
Seed_rectangular	NA	NA
Seed_ovoid	NA	NA
Seed_width_widest_pos	neg	no
Seed_eccentricity	NA	NA
Seed_proximal_eccentricity	NA	NA
Seed_distal_eccentricity	NA	NA
Seed_fruit_shape_index_internal	NA	NA
Seed_eccentricity_area_index	NA	NA
